DATE	A00	B00
220204	0/28	0/28
220212	3/28	1/28
220213	4/28	4/28
220214	5/28	6/28
220215	12/28	9/28
220216	15/28	13/28
220216	23/28	18/28
220217	23/28	19/28
220218	26/28	21/28
220221	26/28	23/28
220223	26/28	28/28
220224	27/28	28/28
220225	28/28 WL1	28/28 WL2
220226	28/28 WL4	28/28 WL4
220227	28/28 WL4	28/28 WL5
220302	28/28 WL5	28/28 WL5
220308	28/30 WL5	28/30 WL5
220309	30/30 WL3	30/30 WL3
220321	30/30 WL2	30/30 WL3
