DATE	A01	A02	A03	A04	A05	A06
211115	23/32	6/32	0/32	1/32	1/32	1/32
220102	32/32	28/32	20/32	7/32	12/32	3/32
220104	32/32 (WL: 1)	32/32 (WL: 1)	31/32	9/32	25/32	10/32
