DATE	A01	A02	A03	A04	A05	A06	A07
220204	0/60	0/60	0/60	0/60	0/60	0/60	0/57
220212	10/60	4/60	3/60	2/60	0/60	0/60	1/57
220213	35/60	9/60	9/60	5/60	3/60	3/60	8/57
220214	44/60	13/60	14/60	4/60	5/60	6/60	10/57
220215	60/60	60/60	60/60	57/60	19/60	33/60	23/57
220216	60/60	60/60	60/60	60/60	60/60	60/60	57/57
220221	60/60 WL1	60/60	60/60 WL1	60/60 WL1	60/60	60/60 WL1	57/57
220221	59/60 WL7	60/60 WL4	60/60 WL4	60/60 WL5	60/60 WL5	60/60 WL4	57/57 WL4
