DATE	A01
220204	0/196
220212	1/196
220213	12/196
220214	18/196
220215	41/196
220216	57/196
220216	60/196
220217	61/196
220218	63/196
220221	71/196
220222	77/196
220223	130/196
220224	136/196
220225	145/196
220301	148/196
220304	149/196
220305	148/196
220308	173/196
220309	174/196
220311	176/196
220312	177/196
220314	178/196
220321	180/196
220323	181/196
220324	182/196
220328	184/196
220328	192/196
220330	195/196 WL1
220331	195/196 WL3
220404	195/196 WL6
220405	196/196 WL4
220406	195/196 WL4
220407	196/196 WL3
220408	196/196 WL2
220410	193/196 WL2
