DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21
220204	0/1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220225	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1	0/1	N/A
220316	1/1	0/1	1/1	0/1	0/1	0/1	0/1	3/1	0/1	1/1	0/1	1/1	0/1	1/1	1/1	1/1	0/1	1/1	0/1	1/1	0/1
220317	1/1	0/1	1/1	0/1	0/1	1/1	0/1	3/1	1/1	1/1	0/1	1/1	0/1	1/1	1/1	1/1	0/1	1/1	0/1	1/1	0/1
220321	1/1	0/1	1/1	1/1	0/1	1/1	0/1	3/1	1/1	1/1	0/1	1/1	0/1	2/1	1/1	1/1	1/1	1/1	0/1	1/1	0/1
