DATE	A00	B00	C00	D00
220204	0/20	N/A	N/A	N/A
220212	0/12	N/A	N/A	N/A
220215	1/12	N/A	N/A	N/A
220216	2/12	N/A	N/A	N/A
220219	2/12	0/0	N/A	N/A
220301	3/12	0/0	N/A	N/A
220309	4/12	0/0	N/A	N/A
220316	3/12	1/0	N/A	N/A
220317	3/12	5/0	N/A	N/A
220323	2/12	6/0	N/A	N/A
220324	N/A	7/0	N/A	N/A
220331	N/A	8/0	N/A	N/A
220823	9/10	8/0	12/0	8/0
