DATE	A00	B00
220204	0/98	0/98
220212	5/98	0/98
220213	12/98	3/98
220214	14/98	6/98
220215	31/98	7/98
220216	35/98	10/98
220216	37/98	11/98
220217	38/98	12/98
220218	37/98	12/98
220219	40/98	13/98
220220	38/98	14/98
220221	39/98	14/98
220221	41/98	15/98
220223	44/98	16/98
220224	46/98	17/98
220225	47/98	17/98
220226	48/98	19/98
220301	49/98	19/98
220302	48/98	19/98
220303	50/98	19/98
220304	50/98	20/98
220306	51/98	20/98
220307	52/98	20/98
220308	52/98	21/98
220311	52/98	22/98
220312	55/98	22/98
220314	57/98	23/98
220316	61/98	23/98
220317	60/98	23/98
220324	59/98	23/98
220328	61/98	23/98
220330	63/98	21/98
220331	64/98	21/98
