DATE	A00
220204	0/100
220212	6/100
220213	23/100
220214	31/100
220215	94/100
220216	100/100
220216	99/100
220217	100/100
220221	100/100 WL1
220221	100/100 WL10
220222	100/100 WL14
220223	100/100 WL41
220224	100/100 WL45
220225	100/100 WL53
220226	100/100 WL54
220228	100/100 WL55
220301	100/100 WL56
220302	100/100 WL57
220303	100/100 WL60
220304	100/100 WL58
220307	100/100 WL59
220308	100/100 WL60
220309	100/100 WL59
220310	100/100 WL56
220311	100/100 WL55
220312	100/100 WL57
220314	100/100 WL58
220316	100/100 WL55
220321	100/100 WL52
220328	100/100 WL43
220328	99/100 WL43
220330	97/100 WL39
220331	100/100 WL33
220404	99/100 WL16
220406	100/113 WL13
220407	110/113 WL2
220408	109/113 WL2
220410	106/113 WL2
