DATE	A00	B00
220204	0/56	0/56
220212	2/56	0/56
220213	7/56	0/56
220215	15/56	3/56
220216	15/56	4/56
220216	27/56	5/56
220218	27/56	6/56
220221	28/56	7/56
220221	33/56	8/56
220222	34/56	8/56
220223	49/56	16/56
220224	56/56 WL3	22/56
220225	55/56 WL9	33/56
220226	56/56 WL8	33/56
220228	56/56 WL8	34/56
220301	56/56 WL8	37/56
220302	56/56 WL9	37/56
220303	56/56 WL9	38/56
220304	56/56 WL9	37/56
220305	56/56 WL9	38/56
220307	56/56 WL9	39/56
220314	56/56 WL9	40/56
220316	56/56 WL9	42/56
220317	55/56 WL9	44/56
220321	63/70 WL2	45/56
220323	64/70 WL2	46/56
220324	64/70 WL2	48/56
220328	63/70 WL3	56/56
220328	63/70 WL4	56/56 WL3
220330	64/70 WL4	55/56 WL7
220331	67/70 WL4	61/61 WL2
220404	71/72 WL3	60/61 WL4
