DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	B13	B14
211115	0/0	1/0	2/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	1/0	0/0	0/0	0/0	0/0	1/0	0/0	0/0	0/0	1/0	0/0	0/0	0/0	0/0	2/0	0/0	0/0	0/0	1/0
220102	3/0	8/0	5/0	3/0	5/0	3/0	3/0	1/0	6/0	5/0	5/0	3/0	3/0	3/0	3/0	2/0	5/0	5/0	2/0	4/0	3/0	1/0	4/0	3/0	3/0	5/0	5/0	2/0	9/0	8/0
220104	3/0	9/0	7/0	4/0	5/0	3/0	3/0	1/0	8/0	8/0	5/0	3/0	4/0	5/0	4/0	2/0	5/0	5/0	2/0	6/0	3/0	4/0	4/0	3/0	4/0	5/0	6/0	3/0	9/0	9/0
220109	3/0	10/0	8/0	4/0	5/0	4/0	4/0	2/0	8/0	9/0	6/0	3/0	4/0	5/0	4/0	2/0	5/0	6/0	2/0	6/0	3/0	4/0	4/0	3/0	4/0	5/0	6/0	3/0	9/0	9/0
220117	3/0	10/0	8/0	4/0	6/0	4/0	4/0	2/0	8/0	10/0	6/0	3/0	4/0	5/0	4/0	2/0	5/0	6/0	2/0	7/0	3/0	4/0	4/0	3/0	4/0	6/0	6/0	4/0	9/0	9/0
