DATE	001	002	003	004
220217	0	N/A	N/A	N/A
220218	1	N/A	N/A	N/A
220225	1	1	N/A	N/A
220303	1	2	N/A	N/A
220309	1	3	N/A	N/A
220311	1	4	N/A	N/A
220316	1	4	0	N/A
220317	1	4	1	N/A
220328	1	5	1	0
220330	1	5	1	1
220408	1	6	1	1
