DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10
220204	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30
220212	0/30	1/30	0/30	2/30	1/30	1/30	1/30	1/30	0/30	0/30	0/30	0/30	2/30	1/30	2/30	0/30	0/30	0/30	1/30	0/30
220213	0/30	2/30	1/30	3/30	3/30	2/30	2/30	1/30	0/30	0/30	0/30	5/30	4/30	1/30	6/30	1/30	0/30	0/30	2/30	1/30
220214	0/30	2/30	2/30	5/30	4/30	3/30	2/30	1/30	0/30	0/30	0/30	5/30	6/30	1/30	7/30	2/30	0/30	0/30	2/30	2/30
220215	1/30	3/30	6/30	8/30	11/30	6/30	1/30	1/30	1/30	0/30	2/30	8/30	20/30	5/30	10/30	2/30	0/30	0/30	4/30	5/30
