DATE	A00	B00	C00
220204	0/85	0/85	N/A
220212	1/85	3/85	N/A
220213	5/85	10/85	N/A
220214	7/85	12/85	N/A
220215	14/85	27/85	N/A
220216	20/85	41/85	N/A
220216	21/85	51/85	N/A
220217	21/85	56/85	N/A
220221	23/85	64/85	N/A
220222	24/85	70/85	N/A
220223	42/85	85/85 WL18	N/A
220224	49/85	85/85 WL23	N/A
220225	60/85	85/85 WL25	N/A
220226	61/85	85/85 WL25	N/A
220227	63/85	85/85 WL25	N/A
220228	66/85	85/85 WL24	N/A
220301	70/85	85/85 WL25	N/A
220302	71/85	85/85 WL25	N/A
220303	74/85	85/85 WL25	N/A
220304	73/85	85/85 WL25	N/A
220305	73/85	85/85 WL24	N/A
220306	74/85	85/85 WL22	N/A
220307	75/85	85/85 WL22	N/A
220308	73/85	85/85 WL21	N/A
220309	74/85	85/85 WL21	N/A
220310	73/85	85/85 WL21	N/A
220311	72/85	85/85 WL21	N/A
220312	74/85	85/85 WL21	N/A
220314	74/85	85/85 WL20	N/A
220316	75/85	85/85 WL20	N/A
220317	77/85	85/85 WL20	N/A
220321	85/85 WL3	85/85 WL19	N/A
220323	85/85 WL4	85/85 WL19	N/A
220324	85/85 WL3	85/85 WL20	N/A
220328	85/85 WL1	85/85 WL19	N/A
220328	85/85 WL6	84/85 WL19	N/A
220330	85/85 WL10	84/85 WL16	N/A
220331	85/85 WL10	85/85 WL14	N/A
220404	84/85 WL6	85/85 WL11	N/A
220405	84/85 WL5	85/85 WL10	N/A
220406	83/85 WL4	85/85 WL10	N/A
220407	85/85 WL1	85/85 WL9	N/A
220408	82/85 WL1	86/87 WL5	N/A
220410	80/85 WL1	86/87 WL5	N/A
220412	79/85 WL1	84/87 WL5	N/A
220417	77/85 WL1	82/87 WL5	N/A
220417	74/75 WL5	N/A	N/A
220823	61/90	90/90 WL11	90/90 WL12
