DATE	A00	B00
220204	0/100	0/100
220212	26/100	100/100
220213	33/100	100/100
220214	36/100	100/100
220215	37/100	100/100
220216	35/100	100/100
220216	37/100	99/100
220217	37/100	100/100
220218	37/100	99/100
220219	35/100	100/100
220221	35/100	100/100 WL1
220222	35/100	100/100 WL3
220223	35/100	100/100 WL4
220224	36/100	100/100 WL4
220225	35/100	99/100 WL4
220226	35/100	100/100 WL2
220228	37/100	100/100 WL2
220301	36/100	99/100 WL3
220302	36/100	100/100 WL5
220303	37/100	100/100 WL8
220304	36/100	100/100 WL8
220307	36/100	100/100 WL7
220308	35/100	100/100 WL7
220310	33/100	100/100 WL10
220314	33/100	100/100 WL9
220316	32/100	100/100 WL8
220317	33/100	99/100 WL8
220321	28/100	100/106 WL7
220323	26/100	103/106 WL1
