DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220214	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
220215	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
220218	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
220220	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
220222	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
220223	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
220224	0	0	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
220301	0	0	0	3	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	2	1	0	1	0	0	0
220302	0	0	0	3	0	0	1	0	0	2	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	2	1	0	1	0	0	0
220303	0	0	0	3	0	0	1	0	0	3	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	2	1	0	1	0	0	0
220305	1	0	0	4	0	0	1	0	0	3	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	3	1	0	1	0	0	0
220312	1	0	0	4	0	0	1	0	1	3	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	3	1	0	1	0	0	0
220316	1	0	2	4	1	1	2	0	1	3	0	0	1	0	2	1	0	0	1	0	0	0	1	1	1	4	2	0	1	0	0	0
