DATE	A00	B00	C00
220204	0/400	N/A	N/A
220212	2/400	N/A	N/A
220213	12/400	N/A	N/A
220214	13/400	N/A	N/A
220215	22/400	N/A	N/A
220216	42/400	N/A	N/A
220216	66/400	N/A	N/A
220217	83/400	N/A	N/A
220218	170/400	N/A	N/A
220219	173/400	N/A	N/A
220221	187/400	N/A	N/A
220222	188/400	N/A	N/A
220223	194/400	N/A	N/A
220224	204/400	N/A	N/A
220225	303/400	N/A	N/A
220226	400/400 WL22	N/A	N/A
220227	400/400 WL25	N/A	N/A
220228	400/400 WL24	N/A	N/A
220304	400/400 WL22	N/A	N/A
220306	400/400 WL21	N/A	N/A
220309	400/400 WL20	N/A	N/A
220310	400/400 WL19	N/A	N/A
220311	400/400 WL20	N/A	N/A
220312	398/400 WL17	N/A	N/A
220314	398/400 WL13	N/A	N/A
220316	399/416 WL9	N/A	N/A
220317	405/416 WL2	N/A	N/A
220321	408/416 WL2	N/A	N/A
220323	407/416 WL2	N/A	N/A
220324	405/416 WL3	N/A	N/A
220328	405/416 WL2	N/A	N/A
220328	403/416 WL7	N/A	N/A
220330	395/416 WL5	N/A	N/A
220331	401/416	N/A	N/A
220404	397/416	N/A	N/A
220405	398/416	N/A	N/A
220406	400/416	N/A	N/A
220407	404/416	N/A	N/A
220410	402/416	N/A	N/A
220417	395/416	N/A	N/A
220417	53/240	N/A	N/A
220417	36/240	N/A	N/A
220823	362/362 WL14	361/362 WL11	417/417 WL25
