DATE	A00	B00	C00	D00	E00	F00	G00	H00	I00	J00	K00	L00
220204	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30
220212	0/30	0/30	1/30	1/30	0/30	1/30	1/30	0/30	0/30	0/30	0/30	0/30
220213	1/30	4/30	5/30	3/30	3/30	1/30	1/30	1/30	0/30	1/30	1/30	2/30
220214	2/30	4/30	5/30	3/30	3/30	0/30	1/30	1/30	0/30	3/30	1/30	2/30
220215	4/30	5/30	5/30	4/30	3/30	2/30	1/30	1/30	1/30	3/30	2/30	3/30
220216	6/30	7/30	5/30	5/30	4/30	4/30	1/30	1/30	3/30	4/30	3/30	5/30
220216	10/30	13/30	11/30	6/30	4/30	7/30	2/30	2/30	4/30	6/30	4/30	5/30
