DATE	A00
220204	0/200
220212	6/200
220213	18/200
220214	27/200
220215	79/200
220216	95/200
220216	106/200
220217	110/200
220218	109/200
220219	111/200
220221	112/200
220221	142/200
220222	166/200
220223	200/200 WL39
220224	200/200 WL50
220225	200/200 WL53
220226	203/200 WL52
220227	203/200 WL53
220301	203/200 WL54
220302	202/200 WL53
220303	202/200 WL52
220304	201/200 WL52
220308	201/200 WL53
220309	200/200 WL53
220310	200/200 WL49
220312	200/200 WL48
220314	199/200 WL48
220316	199/200 WL45
220317	200/200 WL44
220321	198/200 WL43
220323	199/200 WL39
220324	200/200 WL38
220328	200/200 WL34
220328	200/200 WL37
220330	199/200 WL36
