DATE	A00	B00	C00
220204	0/80	0/80	0/80
220212	11/80	12/80	7/80
220213	28/80	14/80	8/80
220214	35/80	19/80	10/80
220215	43/80	25/80	15/80
220216	47/80	25/80	15/80
220216	48/80	27/80	15/80
220217	49/80	27/80	15/80
220218	50/80	27/80	17/80
220219	50/80	28/80	17/80
220221	52/80	30/80	18/80
220222	54/80	30/80	19/80
220223	54/80	33/80	21/80
220224	54/80	34/80	21/80
220225	55/80	35/80	21/80
220226	55/80	36/80	21/80
220301	56/80	37/80	22/80
220302	56/80	38/80	22/80
220303	56/80	39/80	25/80
220304	58/80	40/80	25/80
220305	59/80	40/80	25/80
220306	59/80	41/80	26/80
220307	58/80	43/80	27/80
220308	58/80	43/80	28/80
220311	58/80	44/80	28/80
220314	58/80	44/80	29/80
220316	59/80	44/80	29/80
220321	60/80	44/80	29/80
220323	63/80	44/80	29/80
220324	64/80	44/80	30/80
220330	65/80	44/80	30/80
220331	65/80	44/80	31/80
220404	65/80	44/80	32/80
