DATE	A01	B01
220204	0/395	N/A
220212	5/395	N/A
220213	17/395	N/A
220214	19/395	N/A
220215	44/395	N/A
220216	65/395	N/A
220216	79/395	N/A
220217	81/395	N/A
220221	82/395	N/A
220221	85/395	N/A
220223	116/395	N/A
220224	138/395	N/A
220225	151/395	N/A
220226	153/395	N/A
220227	152/395	N/A
220301	154/395	N/A
220305	153/395	N/A
220306	154/395	N/A
220308	170/395	N/A
220310	171/395	N/A
220311	172/395	N/A
220314	174/395	N/A
220317	175/395	N/A
220321	174/395	N/A
220323	180/395	N/A
220324	184/395	N/A
220328	186/395	N/A
220328	196/395	N/A
220330	201/395	N/A
220331	200/395	N/A
220404	211/395	N/A
220405	208/395	N/A
220406	211/395	N/A
220408	213/395	N/A
220410	214/395	N/A
220412	213/395	N/A
220417	208/395	N/A
220417	74/75	N/A
220823	192/196	23/49
