DATE	A01	A02	A03	A04
220204	0/35	0/35	0/35	0/35
220213	2/35	2/35	0/35	1/35
220214	2/35	4/35	0/35	1/35
220215	10/35	9/35	1/35	2/35
220216	18/35	10/35	2/35	2/35
220216	21/35	11/35	3/35	3/35
220218	22/35	11/35	3/35	4/35
220221	22/35	13/35	5/35	4/35
220222	24/35	14/35	5/35	4/35
220223	35/35	27/35	12/35	9/35
220224	35/35 WL2	35/35	18/35	11/35
220225	35/35 WL2	35/35 WL1	23/35	13/35
220226	35/35 WL2	35/35 WL1	26/35	14/35
220227	35/35 WL2	35/35 WL1	27/35	14/35
220228	35/35 WL2	35/35 WL2	27/35	14/35
220301	35/35 WL2	35/35 WL2	28/35	15/35
220302	35/35 WL2	35/35 WL1	29/35	15/35
220304	35/35 WL1	33/35	31/35	16/35
220305	35/35 WL1	33/35	31/35	17/35
220306	35/35 WL1	34/35	30/35	17/35
220307	35/35 WL1	34/35	31/35	17/35
220308	33/35	32/35	30/35	18/35
220309	34/35	32/35	30/35	19/35
220310	35/35	33/35	30/35	19/35
220311	35/35	34/35	30/35	20/35
220312	34/35	35/35	30/35	20/35
220314	34/35	34/35	29/35	20/35
220316	35/35	35/35	28/35	20/35
220317	34/35	35/35	28/35	21/35
220321	34/35	35/35	29/35	20/35
220323	35/35	34/35	31/35	20/35
220324	35/35	34/35	32/35	20/35
220328	35/35	34/35	31/35	22/35
220328	35/35	34/35	32/35	27/35
220330	33/35 WL1	35/35	35/35	35/35
220331	32/35	35/35	35/35	34/35 WL1
220404	33/35	34/35	34/35	32/35
220405	34/35	33/35	34/35	31/35
