DATE	A00
220204	0/120
220212	2/120
220213	14/120
220214	18/120
220215	37/120
220216	78/120
220216	116/120
220217	115/120
220218	120/120
220221	120/120 WL3
220222	120/120 WL4
220223	120/120 WL22
220224	119/120 WL31
220225	120/120 WL31
220228	120/120 WL30
220301	120/120 WL27
220302	120/120 WL29
220304	120/120 WL28
220306	120/120 WL27
220308	120/120 WL25
220310	120/120 WL24
220312	120/120 WL26
220316	120/120 WL25
220317	120/120 WL24
220323	120/120 WL23
220328	120/120 WL21
220328	119/120 WL22
220330	117/120 WL16
220331	119/120 WL12
220404	120/120 WL5
220405	120/120 WL4
