DATE	A00	B00	C00	D00	E00
220204	0/85	0/85	0/85	0/85	0/85
220212	2/85	0/85	5/85	1/85	2/85
220213	6/85	4/85	19/85	4/85	8/85
220214	7/85	5/85	22/85	5/85	11/85
220215	9/85	9/85	49/85	10/85	21/85
220216	14/85	15/85	71/85	13/85	28/85
220216	15/85	19/85	83/85	16/85	30/85
220217	15/85	19/85	85/85	17/85	30/85
220218	16/85	18/85	85/85	18/85	30/85
220221	17/85	18/85	85/85	18/85	30/85
220221	19/85	19/85	84/85 WL2	24/85	31/85
220222	21/85	19/85	85/85 WL2	27/85	33/85
220223	30/85	26/85	83/85 WL8	42/85	42/85
220224	36/85	29/85	85/85 WL5	49/85	44/85
220225	39/85	32/85	85/85 WL6	56/85	44/85
220226	39/85	31/85	85/85 WL6	56/85	45/85
