DATE	A00
220204	0/120
220212	4/120
220213	15/120
220214	16/120
220215	30/120
220216	42/120
220216	57/120
220217	55/120
220218	57/120
220219	56/120
220221	64/120
220222	65/120
220223	105/120
220224	120/120 WL5
220225	120/120 WL11
220226	120/120 WL12
220301	120/120 WL11
220302	120/120 WL13
220304	120/120 WL12
220306	120/120 WL11
220308	120/120 WL10
220309	127/140 WL3
220314	127/140 WL4
220316	129/140 WL2
220317	128/140 WL2
220321	128/140 WL1
220323	129/140 WL2
220324	133/140
220328	139/140
220328	140/140 WL3
220330	135/140 WL4
220331	139/140
