DATE	A01	A02	A03	A04	A05	A06
220204	0/32	0/32	0/32	0/32	0/32	0/32
220213	3/32	0/32	2/32	0/32	2/32	0/32
220215	4/32	4/32	4/32	0/32	2/32	0/32
220216	9/32	5/32	5/32	0/32	2/32	0/32
220216	15/32	8/32	6/32	0/32	3/32	1/32
220217	13/32	8/32	6/32	0/32	4/32	2/32
220218	20/32	11/32	11/32	5/32	7/32	3/32
220219	20/32	12/32	11/32	5/32	6/32	3/32
220221	20/32	12/32	11/32	6/32	6/32	3/32
220221	22/32	14/32	12/32	8/32	6/32	3/32
220222	23/32	14/32	13/32	9/32	6/32	3/32
220223	32/32	20/32	15/32	9/32	9/32	3/32
220224	32/32	27/32	19/32	10/32	12/32	3/32
220225	32/32 WL1	32/32 WL1	32/32 WL1	15/32	27/32	9/32
