DATE	A00	B00
220204	0/100	N/A
220212	100/100	N/A
220215	100/100	16/100
220216	100/100	25/100
220216	99/100	28/100
220217	100/100	28/100
220218	98/100	29/100
220219	100/100	28/100
220220	100/100	31/100
220221	100/100	30/100
220221	100/100	31/100
220223	98/100	44/100
220224	95/100	47/100
220225	93/100	47/100
220226	93/100	45/100
220227	93/100	46/100
220228	92/100	47/100
220301	91/100	50/100
220302	90/100	51/100
220303	89/100	51/100
220304	88/100	50/100
220305	88/100	51/100
220306	88/100	50/100
220307	86/100	51/100
220308	86/100	52/100
220309	86/100	53/100
