DATE	001	002	003	004	005	006	007	008
220204	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220227	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220301	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A
220302	2	0	0	1	N/A	N/A	N/A	N/A
220303	1	0	1	1	1	1	N/A	N/A
220310	1	0	1	1	1	1	1	N/A
220311	1	0	1	2	1	1	1	N/A
220316	0	1	1	2	1	1	1	1
