DATE	A01	A02
220204	0/35	0/35
220212	2/35	0/35
220213	6/35	1/35
220215	16/35	3/35
220216	18/35	3/35
220216	24/35	6/35
220217	26/35	6/35
220218	35/35	23/35
220219	35/35	24/35
220221	35/35 WL1	33/35
220222	35/35 WL1	35/35 WL1
220223	35/35 WL5	35/35 WL3
220224	35/35 WL6	35/35 WL5
220225	35/35 WL7	35/35 WL6
220226	35/35 WL10	35/35 WL12
220301	35/35 WL11	35/35 WL12
220303	35/35 WL11	35/35 WL11
220304	35/35 WL12	35/35 WL11
220305	35/35 WL11	35/35 WL11
220308	35/35 WL10	35/35 WL11
220310	35/35 WL9	35/35 WL11
220312	35/35 WL10	35/35 WL10
220317	35/35 WL11	35/35 WL10
220323	35/35 WL10	35/35 WL10
220324	35/35 WL11	35/35 WL10
220328	35/35 WL8	34/35 WL8
220328	33/35 WL8	34/35 WL7
220330	33/35 WL7	35/35 WL6
220331	35/35 WL2	33/35 WL5
220404	35/35 WL4	34/35 WL3
220405	35/35 WL4	35/35 WL2
220407	35/35 WL2	35/35 WL2
220408	35/35	35/35 WL1
220417	35/35	34/35 WL1
220417	17/40	N/A
220625	40/40 WL1	N/A
