DATE	A00	B00
220204	0/200	N/A
220212	3/200	N/A
220213	12/200	N/A
220214	14/200	N/A
220215	35/200	N/A
220216	40/200	N/A
220216	45/200	N/A
220217	46/200	N/A
220218	72/200	N/A
220219	73/200	N/A
220221	93/200	N/A
220222	103/200	N/A
220223	163/200	N/A
220224	196/200	N/A
220225	200/200 WL22	N/A
220226	199/200 WL33	N/A
220227	200/200 WL32	N/A
220228	200/200 WL33	N/A
220301	198/200 WL35	N/A
220302	200/200 WL34	N/A
220303	200/200 WL33	N/A
220304	200/200 WL32	N/A
220305	200/200 WL33	N/A
220306	200/200 WL32	N/A
220307	200/200 WL30	N/A
220310	200/200 WL31	N/A
220312	200/200 WL30	N/A
220314	199/200 WL31	N/A
220316	200/200 WL28	N/A
220317	197/200 WL29	N/A
220321	200/200 WL24	N/A
220323	200/200 WL22	N/A
220324	200/200 WL24	N/A
220328	200/200 WL23	N/A
220328	199/200 WL28	N/A
220330	200/200 WL35	N/A
220331	199/200 WL35	N/A
220404	199/200 WL22	N/A
220406	200/200 WL17	N/A
220407	200/200 WL14	N/A
220408	199/200 WL11	N/A
220410	197/200 WL10	N/A
220417	195/200 WL10	N/A
220417	45/50	24/50
220417	29/50	N/A
220625	50/50 WL12	N/A
