DATE	A00	B00
220204	0/40	N/A
220212	22/40	N/A
220213	26/40	N/A
220214	27/40	N/A
220215	29/40	N/A
220216	30/40	N/A
220216	33/40	N/A
220219	33/40	1/30
220221	32/40	1/30
220221	33/40	1/30
