DATE	A01	A02	A03	A04	A05
220204	0/25	0/25	0/25	0/25	0/25
220212	0/25	0/25	0/0	0/0	0/25
220213	4/25	4/25	0/0	0/0	1/25
220214	4/25	5/25	0/0	0/0	1/25
220215	5/25	8/25	2/25	3/25	3/25
220216	5/25	9/25	3/25	3/25	6/25
220216	5/25	11/25	6/25	8/25	7/25
220217	5/25	11/25	7/25	11/25	7/25
220218	8/25	13/25	11/25	16/25	11/25
220219	9/25	12/25	11/25	16/25	11/25
220221	9/25	12/25	12/25	16/25	11/25
220221	8/25	13/25	15/25	19/25	14/25
220222	8/25	13/25	16/25	21/25	14/25
220223	17/25	18/25	22/25	25/25	20/25
220224	22/25	25/25	25/25	25/25	25/25 WL1
220225	25/25 WL6	25/25 WL5	24/25 WL5	25/25 WL5	25/25 WL5
