DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	B13	B14	B15	B16	C01	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	D13	D14	D15	D16	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	E13	E14	E15	E16	E17	E18
220204	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/30	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15
220212	1/15	2/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	2/30	0/15	0/15	0/15	0/15	0/15	0/15	0/15	0/15	1/15	0/15	0/15	0/15	0/15	1/15	0/15	0/15	0/15	0/15	0/15	1/15	0/15	1/15	0/15	0/15	0/15	0/15	0/15	1/15	0/15	0/15	0/15	0/15	0/15	0/15
220213	2/15	4/15	2/15	3/15	0/15	0/15	0/15	0/15	0/15	1/15	0/15	1/15	1/15	0/15	0/15	0/15	0/15	1/15	0/15	1/15	0/15	0/15	1/15	0/15	0/15	0/15	0/15	2/15	1/15	0/15	0/15	0/15	10/30	0/15	0/15	2/15	3/15	2/15	0/15	0/15	0/15	2/15	0/15	0/15	0/15	0/15	1/15	0/15	0/15	1/15	0/15	0/15	4/15	0/15	1/15	1/15	2/15	0/15	0/15	0/15	1/15	0/15	0/15	1/15	0/15	0/15	0/15
220214	2/15	5/15	2/15	3/15	0/15	0/15	0/15	0/15	0/15	1/15	0/15	2/15	1/15	0/15	0/15	0/15	0/15	1/15	0/15	1/15	0/15	0/15	1/15	0/15	0/15	0/15	0/15	2/15	1/15	1/15	0/15	0/15	10/30	0/15	0/15	2/15	3/15	2/15	0/15	0/15	0/15	2/15	0/15	0/15	0/15	0/15	1/15	0/15	0/15	1/15	0/15	0/15	4/15	0/15	1/15	1/15	2/15	0/15	0/15	0/15	1/15	1/15	0/15	1/15	0/15	0/15	0/15
220215	2/15	6/15	2/15	3/15	0/15	0/15	0/15	0/15	0/15	1/15	0/15	2/15	1/15	0/15	0/15	0/15	0/15	1/15	0/15	1/15	0/15	0/15	1/15	0/15	0/15	0/15	0/15	2/15	1/15	1/15	0/15	0/15	10/30	0/15	0/15	2/15	4/15	2/15	0/15	0/15	0/15	2/15	0/15	0/15	0/15	0/15	1/15	0/15	0/15	1/15	0/15	0/15	4/15	0/15	2/15	1/15	2/15	0/15	0/15	0/15	1/15	2/15	0/15	1/15	0/15	1/15	0/15
220216	2/15	8/15	2/15	4/15	0/15	0/15	0/15	0/15	0/15	1/15	0/15	3/15	1/15	0/15	0/15	1/15	1/15	1/15	0/15	1/15	0/15	0/15	1/15	0/15	0/15	0/15	0/15	2/15	1/15	1/15	0/15	0/15	14/30	0/15	0/15	4/15	4/15	2/15	0/15	0/15	0/15	2/15	0/15	0/15	0/15	0/15	1/15	0/15	0/15	1/15	0/15	0/15	4/15	0/15	2/15	3/15	2/15	1/15	0/15	0/15	1/15	4/15	0/15	2/15	0/15	2/15	1/15
220216	4/15	15/15	6/15	8/15	5/15	4/15	2/15	1/15	0/15	15/15	5/15	4/15	6/15	3/15	0/15	2/15	2/15	1/15	2/15	6/15	1/15	2/15	3/15	0/15	0/15	0/15	2/15	3/15	1/15	2/15	1/15	1/15	29/30	1/15	1/15	5/15	6/15	4/15	4/15	0/15	3/15	2/15	0/15	1/15	2/15	0/15	1/15	0/15	0/15	3/15	0/15	2/15	8/15	4/15	5/15	7/15	3/15	1/15	1/15	0/15	2/15	5/15	0/15	7/15	11/15	6/15	1/15
220217	7/15	15/15	12/15	11/15	14/15	7/15	3/15	1/15	0/15	15/15	6/15	9/15	10/15	3/15	1/15	1/15	2/15	1/15	3/15	9/15	3/15	3/15	4/15	0/15	0/15	0/15	3/15	4/15	2/15	2/15	1/15	2/15	30/30	1/15	2/15	9/15	11/15	4/15	5/15	0/15	4/15	2/15	0/15	1/15	2/15	0/15	1/15	0/15	0/15	4/15	2/15	4/15	13/15	6/15	6/15	11/15	6/15	2/15	1/15	0/15	2/15	6/15	0/15	10/15	15/15	8/15	1/15
220218	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	3/15	2/15	11/15	15/15	12/15	7/15	5/15	4/15	0/15	1/15	4/15	14/15	11/15	4/15	6/15	3/15	30/30	4/15	3/15	15/15	15/15	15/15	15/15	13/15	11/15	4/15	0/15	13/15	15/15	15/15	10/15	4/15	2/15	15/15	14/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15
220219	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	3/15	2/15	11/15	15/15	13/15	7/15	5/15	4/15	0/15	1/15	6/15	14/15	12/15	4/15	6/15	3/15	30/30	4/15	3/15	15/15	15/15	15/15	15/15	14/15	11/15	4/15	0/15	13/15	15/15	15/15	10/15	6/15	1/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15
220220	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	3/15	2/15	11/15	15/15	14/15	7/15	5/15	4/15	0/15	1/15	6/15	14/15	12/15	4/15	6/15	3/15	30/30	4/15	3/15	15/15	15/15	15/15	15/15	14/15	11/15	4/15	0/15	13/15	15/15	15/15	10/15	6/15	1/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15
220221	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	3/15	2/15	12/15	15/15	15/15	7/15	5/15	4/15	0/15	1/15	6/15	15/15	12/15	4/15	6/15	5/15	30/30	5/15	4/15	15/15	15/15	15/15	15/15	14/15	12/15	4/15	0/15	15/15	15/15	15/15	11/15	7/15	3/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15
220222	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	3/15	2/15	13/15	15/15	15/15	7/15	4/15	4/15	0/15	1/15	6/15	15/15	12/15	4/15	6/15	7/15	30/30	5/15	4/15	15/15	15/15	15/15	15/15	14/15	12/15	4/15	0/15	15/15	15/15	15/15	11/15	7/15	3/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15
220223	15/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	3/0	2/0	14/15	15/15	15/15	7/15	4/15	4/15	0/0	1/0	6/15	15/15	13/15	4/15	7/15	8/15	30/30	5/15	4/15	15/15	15/15	15/15	15/15	14/15	13/15	4/0	0/0	15/15	15/15	15/15	10/15	7/15	3/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15
220224	15/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15 WL1	15/15	15/15	3/15	2/15	15/15	15/15	15/15	7/15	4/15	4/15	0/15	1/15	6/15	15/15	13/15	4/15	8/15	8/15	30/30	5/15	4/15	15/15	15/15	15/15	15/15	14/15	13/15	4/15	0/15	15/15	15/15	15/15	10/15	8/15	4/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15
220225	15/15	15/15 WL2	15/15 WL1	15/15	15/15	15/15	15/15 WL1	15/15	15/15	15/15	15/15	14/15	15/15 WL1	15/15 WL1	15/15	15/15	3/15	2/15	15/15	14/15	15/15	12/15	5/15	8/15	0/15	9/15	15/15	15/15	15/15	9/15	12/15	9/15	30/30 WL1	14/15	8/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15	11/15	2/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15 WL1	15/15	15/15 WL1	15/15	14/15 WL1	15/15 WL2	15/15	15/15	15/15	15/15	15/15	15/15	15/15 WL2	15/15	15/15 WL1	15/15 WL1	15/15
220226	15/15	15/15 WL2	15/15 WL1	15/15	15/15 WL1	15/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15 WL1	15/15 WL1	15/15	15/15	3/15	3/15	15/15	15/15	15/15	15/15	9/15	11/15	0/15	9/15	15/15	15/15 WL1	15/15	14/15	14/15	14/15	30/30 WL2	15/15	14/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15	3/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15 WL1	15/15 WL1	15/15 WL2	15/15 WL1	15/15 WL1	15/15 WL2	15/15	15/15	15/15	15/15	15/15	15/15	15/15 WL2	15/15	15/15 WL2	15/15 WL1	15/15
220227	15/15	15/15 WL2	15/15 WL1	15/15	15/15 WL1	15/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15 WL1	15/15 WL1	15/15	15/15	3/15	3/15	15/15	15/15	15/15	15/15	9/15	11/15	0/15	9/15	15/15	15/15 WL1	15/15	14/15	14/15	15/15	30/30 WL3	15/15	14/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15	3/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15 WL1	15/15 WL1	15/15 WL2	15/15 WL1	15/15 WL1	15/15 WL2	15/15	15/15	15/15	15/15	15/15	15/15	15/15 WL2	15/15	15/15 WL2	15/15 WL1	15/15
220301	15/15	15/15 WL1	15/15 WL1	15/15	15/15 WL1	15/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15 WL1	15/15 WL1	15/15	15/15	3/15	2/15	15/15	15/15	15/15	15/15	9/15	14/15	0/15	8/15	15/15	15/15 WL1	15/15	14/15	14/15	15/15	30/30 WL2	15/15	14/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15	5/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15 WL1	15/15 WL1	15/15 WL2	15/15 WL1	15/15 WL1	15/15 WL2	15/15	15/15	15/15	15/15	15/15	15/15	15/15 WL2	15/15	15/15 WL2	15/15 WL1	15/15
220302	15/15	15/15 WL1	15/15 WL1	15/15	15/15 WL1	15/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15 WL1	15/15 WL1	15/15	15/15	3/15	3/15	15/15	15/15	15/15	15/15	9/15	14/15	0/15	9/15	15/15	15/15 WL1	15/15	14/15	13/15	15/15	30/30 WL2	15/15	14/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15	5/15	15/15	15/15	15/15	15/15	15/15	14/15	15/15	15/15 WL1	15/15 WL1	15/15 WL2	15/15 WL1	15/15 WL1	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15	15/15 WL2	15/15	15/15 WL2	15/15 WL1	15/15
220303	15/15	15/15	15/15 WL1	15/15	15/15 WL1	15/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15 WL1	15/15 WL1	15/15	15/15	3/15	3/15	15/15	15/15	15/15	15/15	10/15	15/15	0/15	9/15	15/15	15/15 WL1	15/15	15/15	14/15	15/15	30/30 WL2	14/15	14/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15	5/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15 WL1	15/15 WL1	15/15 WL2	15/15 WL1	15/15 WL1	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15	15/15 WL1	15/15	15/15 WL1	14/15 WL1	15/15
220304	15/15	15/15	15/15	15/15	15/15 WL1	15/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15 WL1	15/15 WL1	15/15	15/15	3/15	4/15	15/15	15/15 WL2	15/15	15/15	11/15	15/15	0/15	9/15	13/15	15/15 WL1	15/15	15/15	14/15	15/15	30/30 WL2	14/15	15/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15	4/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15 WL1	15/15 WL1	15/15 WL2	15/15 WL1	15/15 WL1	15/15 WL1	15/15	15/15	14/15	15/15	15/15	15/15	15/15 WL1	15/15	15/15 WL1	15/15	15/15
220305	15/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15 WL1	15/15 WL1	15/15	15/15	3/15	4/15	15/15	15/15	15/15	15/15	13/15	15/15	0/15	9/15	13/15	15/15 WL1	15/15	15/15	14/15	15/15	30/30 WL2	14/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	4/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15 WL1	15/15 WL1	15/15 WL2	15/15 WL1	15/15 WL1	15/15 WL1	15/15 WL1	15/15	14/15	15/15	15/15	15/15	15/15 WL1	15/15	15/15	15/15	15/15
220306	15/15	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15 WL1	15/15 WL1	15/15	15/15	3/15	4/15	15/15	15/15	15/15	15/15	13/15	15/15	0/15	9/15	13/15	15/15 WL1	15/15	15/15	14/15	15/15	30/30 WL2	14/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	4/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15	15/15 WL1	15/15 WL1	15/15 WL2	15/15 WL1	15/15 WL1	15/15 WL1	15/15 WL1	15/15	15/15	15/15	15/15	15/15	15/15 WL1	15/15	15/15	15/15	15/15
