DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015
220204	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10
220212	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	1/10	0/10	0/10	0/10	0/10	0/10
220219	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	0/10	1/10	0/10	1/10	0/10	0/10	0/10
220304	0/10	0/10	0/10	0/10	0/10	1/10	0/10	0/10	0/10	1/10	0/10	1/10	0/10	0/10	0/10
220305	1/10	0/10	0/10	0/10	0/10	1/10	0/10	0/10	0/10	1/10	0/10	1/10	0/10	0/10	0/10
220308	3/10	0/10	1/10	0/10	2/10	1/10	0/10	0/10	1/10	1/10	0/10	2/10	1/10	0/10	0/10
220310	3/10	0/10	1/10	0/10	2/10	1/10	0/10	0/10	1/10	1/10	0/10	2/10	1/10	1/10	0/10
220314	3/10	1/10	1/10	0/10	2/10	1/10	0/10	0/10	2/10	1/10	0/10	2/10	1/10	1/10	0/10
220323	3/10	1/10	1/10	1/10	2/10	1/10	0/10	0/10	2/10	1/10	0/10	2/10	1/10	1/10	0/10
220324	3/10	1/10	1/10	1/10	2/10	1/10	1/10	0/10	2/10	1/10	0/10	2/10	1/10	1/10	1/10
