DATE	A00
220204	0/60
220212	6/60
220213	11/60
220214	14/60
220215	24/60
220216	27/60
220216	39/60
220218	40/60
220221	43/60
220222	46/60
220223	60/60 WL5
220224	60/60 WL8
220225	60/60 WL12
220226	60/60 WL13
220228	60/60 WL12
220301	60/60 WL11
220302	60/60 WL10
220304	60/60 WL9
220305	60/60 WL8
220312	60/60 WL9
220316	60/60 WL10
220323	60/60 WL9
220324	59/60 WL8
220328	60/60 WL2
220328	60/60 WL6
220330	56/64 WL4
220331	59/64
220404	62/64
220406	64/64 WL1
220407	64/64
220408	63/64
220410	64/64
220412	63/64
220417	62/64
220417	15/30
220417	9/30
220625	27/30
