DATE	A00	B00
220204	0/0	N/A
220221	0/0 WL2	N/A
220221	0/0 WL3	N/A
220223	1/0 WL3	N/A
220224	3/0 WL2	N/A
220225	3/0 WL3	N/A
220226	4/0 WL2	N/A
220302	5/0 WL1	N/A
220305	N/A	1/60
220306	N/A	2/60
220308	N/A	3/60
220316	N/A	4/60
220317	N/A	6/60
220324	N/A	7/60
220328	N/A	8/60
220331	N/A	9/60
220407	N/A	10/60
