DATE	A01	A02	A03	A04
220204	0/25	0/25	0/25	0/25
220213	1/25	1/25	0/25	1/25
220215	2/25	3/25	0/25	1/25
220216	2/25	3/25	0/25	2/25
220217	2/25	4/25	0/25	3/25
220221	2/25	4/25	1/25	3/25
220223	6/25	6/25	1/25	8/25
220224	7/25	6/25	1/25	9/25
220225	8/25	11/25	5/25	10/25
220226	9/25	11/25	5/25	10/25
220227	9/25	11/25	5/25	9/25
220301	10/25	11/25	5/25	9/25
220302	10/25	12/25	5/25	9/25
220309	9/25	13/25	5/25	9/25
220310	8/25	14/25	5/25	9/25
220316	8/25	14/25	5/25	10/25
220317	9/25	13/25	5/25	10/25
220321	7/25	12/25	5/25	11/25
220328	7/25	12/25	6/25	11/25
