DATE	A01
220204	0/237
220212	4/237
220213	18/237
220214	20/237
220215	72/237
220216	176/237
220216	237/237
220221	237/237 WL11
220222	237/237 WL17
220223	237/237 WL52
220224	237/237 WL86
220225	237/237 WL124
220226	237/237 WL129
220227	237/237 WL130
220301	237/395 WL131
220302	371/395
220303	370/395
220304	373/395
220305	377/395
220307	379/395
220308	375/395
220309	377/395
220310	378/395
220314	377/395
220316	378/395
220317	381/395
220321	382/395
220324	389/395
220328	395/395 WL3
220328	395/395 WL10
220330	391/395 WL16
220331	395/395 WL12
220404	394/395 WL10
220405	391/395 WL9
220406	395/395 WL6
220407	395/395 WL4
220408	395/395
220410	394/395
220412	393/395
