DATE	A00
220204	0/85
220212	4/85
220213	8/85
220214	10/85
220215	30/85
220216	46/85
220216	57/85
220218	58/85
220221	59/85
220221	70/85
220222	75/85
220223	84/85 WL18
220224	85/85 WL24
220225	84/85 WL22
220226	85/85 WL19
220228	85/85 WL21
220301	85/98 WL23
220302	97/98 WL12
220303	98/98 WL11
220307	98/98 WL12
220314	98/98 WL13
220316	98/98 WL12
220317	98/98 WL13
220321	97/98 WL13
220323	98/98 WL13
220324	98/98 WL14
220328	97/98 WL10
220328	96/98 WL11
220330	96/98 WL10
220331	97/98 WL9
220404	92/98 WL3
220405	92/98 WL1
220406	91/98 WL1
220407	92/98 WL1
