DATE	A01	A02	A03	A04	A05	A06	A07	A08
220204	0/34	0/34	0/34	0/34	0/34	0/34	0/34	0/34
220212	1/34	0/34	2/34	0/34	1/34	0/34	0/34	0/34
220213	7/34	2/34	3/34	5/34	1/34	1/34	1/34	0/34
220214	8/34	2/34	3/34	5/34	1/34	2/34	1/34	0/34
220215	13/34	3/34	2/34	5/34	1/34	2/34	1/34	1/34
220216	18/34	3/34	2/34	7/34	1/34	4/34	1/34	1/34
220216	29/34	5/34	5/34	15/34	3/34	7/34	1/34	2/34
220217	34/34	7/34	7/34	17/34	3/34	8/34	1/34	3/34
220218	34/34	18/34	12/34	19/34	3/34	18/34	5/34	4/34
220219	33/34	18/34	12/34	19/34	4/34	18/34	5/34	5/34
220221	34/34	20/34	12/34	21/34	5/34	20/34	6/34	6/34
