DATE	A00	B00	C00
220204	0/98	N/A	N/A
220215	5/98	N/A	N/A
220216	7/98	N/A	N/A
220216	8/98	N/A	N/A
220218	9/98	N/A	N/A
220219	10/98	N/A	N/A
220223	11/98	N/A	N/A
220301	12/98	N/A	N/A
220302	11/98	N/A	N/A
220303	13/98	N/A	N/A
220308	15/98	N/A	N/A
220311	14/98	N/A	N/A
220312	13/98	N/A	N/A
220316	14/98	N/A	N/A
220321	13/98	N/A	N/A
220330	12/98	N/A	N/A
220331	11/98	N/A	N/A
220408	10/98	N/A	N/A
220417	0/70	0/70	0/70
220417	11/100	N/A	N/A
220625	24/100	N/A	N/A
