DATE	001	002	003	004	005
220310	0	N/A	N/A	N/A	N/A
220312	0	0	N/A	N/A	N/A
220316	1	0	N/A	N/A	N/A
220330	1	0	0	N/A	N/A
220404	1	1	1	N/A	N/A
220406	1	1	1	0	N/A
220410	1	1	1	0	0
220412	1	1	1	1	0
220417	1	1	1	1	1
220625	0	N/A	N/A	N/A	N/A
