DATE	A00	B00	C00	D00
220204	0/14	0/14	0/14	0/14
220212	0/14	0/14	2/14	2/14
220213	2/14	1/14	4/14	1/14
220214	4/14	2/14	5/14	1/14
220215	6/14	4/14	8/14	5/14
220216	12/14	6/14	9/14	6/14
220216	14/14	9/14	14/14	9/14
220217	14/14	9/14	14/14	11/14
220218	14/14	13/14	14/14	14/14
220221	14/14	13/14	14/14	14/14 WL1
220223	14/14	14/14 WL1	14/14	14/14 WL1
220225	14/14 WL2	14/14 WL2	14/14 WL1	14/14 WL2
220226	14/14 WL3	14/14 WL2	14/14 WL2	14/14 WL2
220302	14/14 WL3	14/14 WL2	14/14 WL2	14/14 WL3
220308	14/15 WL3	14/15 WL2	14/15 WL2	14/15 WL3
220309	15/15 WL2	15/15 WL1	15/15 WL1	15/15 WL2
220321	15/15 WL1	15/15 WL1	15/15 WL1	15/15 WL2
220324	15/15 WL2	15/15 WL1	15/15 WL1	15/15 WL2
220328	15/15 WL2	15/15 WL2	15/15 WL2	15/15 WL1
220330	13/15 WL2	15/15 WL2	15/15	15/15 WL1
220331	15/15	15/15 WL2	15/15	15/15 WL1
