DATE	A01	A02	A03	A04	A05	A06
220204	0/28	0/28	0/28	0/28	0/28	0/28
220212	2/28	0/28	1/28	0/28	0/28	1/28
220213	7/28	0/28	3/28	2/28	0/28	2/28
220214	7/28	0/28	3/28	2/28	1/28	2/28
220215	14/28	3/28	11/28	3/28	5/28	2/28
220216	26/28	5/28	19/28	4/28	6/28	7/28
220216	28/28	9/28	27/28	7/28	5/28	7/28
220218	28/28	10/28	28/28	7/28	6/28	7/28
220219	28/28	11/28	28/28	7/28	6/28	7/28
220221	28/28	11/28	28/28 WL1	7/28	6/28	7/28
220221	28/28	14/28	28/28 WL2	7/28	6/28	7/28
220223	28/28	19/28	28/28 WL1	9/28	8/28	8/28
220224	28/28	19/28	28/28 WL1	11/28	9/28	8/28
220225	28/28	21/28	28/28 WL1	13/28	10/28	8/28
