DATE	A00	B00
220204	0/60	N/A
220212	3/60	N/A
220214	5/60	N/A
220215	9/60	N/A
220216	14/60	N/A
220216	28/60	N/A
220217	31/60	N/A
220218	33/60	N/A
220220	33/65	N/A
220221	36/65	N/A
220222	38/65	N/A
220223	46/70	N/A
220224	54/70	N/A
220225	69/70	N/A
220226	70/70	N/A
220227	69/70 WL1	N/A
220228	70/70	N/A
220301	70/60	N/A
220302	68/70	N/A
220303	70/70	N/A
220304	70/60	N/A
220307	70/60 WL1	N/A
220309	70/70 WL1	N/A
220310	69/70 WL1	N/A
220311	70/70 WL1	N/A
220314	70/60 WL1	N/A
220317	69/60 WL1	N/A
220321	69/60 WL2	N/A
220323	68/60 WL2	N/A
220324	69/60 WL2	N/A
220328	70/60 WL1	N/A
220330	67/70 WL2	N/A
220331	69/0	N/A
220404	66/0	N/A
220405	65/0	N/A
220406	64/0	N/A
220823	68/0 WL1	65/67
