DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019
220204	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	N/A	N/A	N/A
220303	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	1/0	0/0	0/0	0/0	N/A	N/A	N/A
220310	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	2/0	0/0	0/0	0/0	N/A	N/A	N/A
220311	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	2/0	0/0	0/0	0/0	1/0	N/A	N/A
220321	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	2/0	0/0	0/0	0/0	1/0	1/1	N/A
220331	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	2/0	0/0	0/0	0/0	1/0	1/1	0/1
220404	0/0	0/0	0/0	1/0	0/0	0/0	0/0	0/0	0/0	0/0	1/0	0/0	2/0	0/0	0/0	0/0	1/0	1/1	1/1
