DATE	A00
220204	0/50
220213	3/50
220215	6/50
220216	13/50
220216	18/50
220217	19/50
220218	28/50
220221	32/50
220222	33/50
220223	47/50
220224	50/50 WL2
220225	50/50 WL7
220226	50/50 WL9
220301	50/50 WL10
220303	50/50 WL9
220304	50/50 WL8
220305	50/50 WL9
220312	50/50 WL8
220316	50/65 WL10
220317	61/65
220321	62/65
220323	65/65
220324	65/65 WL1
220328	65/65 WL2
220328	65/65 WL3
220330	65/65 WL7
220404	64/65 WL6
220405	65/65 WL5
220406	64/65 WL3
220407	65/65 WL2
220408	67/67 WL1
220412	66/67 WL1
220417	65/67 WL1
220417	13/40
220625	18/25
