DATE	A00
220204	0/130
220213	10/130
220214	12/130
220215	29/130
220216	41/130
220216	54/130
220217	56/130
220218	62/130
220221	77/130
220222	79/130
220223	110/130
220224	129/130
220225	130/130 WL10
220226	130/130 WL11
220301	130/130 WL13
220302	130/130 WL15
220306	130/130 WL16
220309	129/130 WL15
220310	130/130 WL14
220321	130/130 WL15
220323	130/130 WL16
220328	130/130 WL15
220328	130/130 WL16
220330	129/140 WL18
220331	144/146 WL2
220404	142/146 WL5
220405	146/146 WL2
220408	144/146 WL2
220410	143/146 WL2
