DATE	A00
220204	0/200
220212	1/200
220213	7/200
220214	9/200
220215	14/200
220216	19/200
220216	32/200
220217	33/200
220218	53/200
220221	63/200
220222	70/200
220223	95/200
220224	119/200
220225	192/200
220226	200/200 WL25
220227	200/200 WL28
220228	200/200 WL30
220301	200/200 WL29
220303	199/200 WL27
220304	200/200 WL25
220305	227/250
220306	231/250
220307	234/250
220309	235/250
220311	236/250
220312	238/250
220314	243/250
220316	249/250 WL3
220317	250/250 WL1
220321	249/250 WL3
220323	249/250 WL2
