DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048	049	050	051	052	053	054	055	056	057	058	059	060	061	062	063	064	065	066	067	068	069	070	071	072	073	074	075	076	077	078	079	080	081	082	083	084	085	086
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A
220206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A	N/A	N/A
220212	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	N/A	N/A
220213	0	0	0	0	0	0	0	0	3	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	3	1	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	N/A	N/A
220214	0	0	0	0	1	0	0	0	3	0	0	2	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	3	0	0	1	0	0	0	0	1	1	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	2	0	0	1	3	1	0	0	1	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	N/A	N/A
220215	0	0	0	0	1	1	1	0	4	0	0	2	1	0	1	1	0	0	1	0	0	1	0	1	0	1	1	3	0	0	2	0	0	0	0	1	1	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	2	0	0	1	3	3	0	1	1	0	0	0	1	1	1	0	0	0	0	4	0	1	0	0	0	1	1	0	1	1	0	1	N/A	N/A
220216	0	0	0	0	2	1	1	0	4	0	0	2	1	0	1	1	0	0	1	0	0	1	0	1	0	1	1	3	0	0	2	0	0	0	0	2	1	1	1	0	2	0	0	0	0	1	1	0	0	0	0	0	2	0	0	1	3	4	0	1	1	0	0	0	1	1	1	0	0	0	0	4	0	1	0	0	0	3	1	0	1	1	0	1	N/A	N/A
220216	0	0	0	0	2	1	1	1	4	0	0	2	1	0	1	1	1	0	1	0	0	1	0	1	0	1	1	3	0	0	2	0	0	0	0	2	1	1	1	0	2	0	0	0	0	1	1	0	0	0	0	0	2	0	0	1	3	4	0	1	1	0	0	0	1	1	1	0	0	0	0	4	0	1	0	0	0	3	1	0	1	1	0	1	N/A	N/A
220218	0	0	0	0	2	1	1	1	4	0	0	2	1	0	1	1	1	0	1	0	0	1	0	1	0	1	1	4	0	0	2	0	0	0	0	2	1	1	1	0	2	2	0	0	0	1	1	0	1	0	0	0	2	0	0	1	3	4	0	1	1	0	0	0	1	1	1	0	0	0	0	4	0	1	0	0	0	3	1	0	1	1	0	1	0	N/A
220219	0	0	0	0	2	1	1	1	5	0	0	2	1	0	1	1	1	0	1	0	0	1	0	1	0	1	1	4	0	0	2	0	0	0	0	2	1	1	1	0	2	2	0	0	0	1	1	0	1	0	0	0	2	0	0	1	3	4	0	1	1	0	0	0	1	1	1	0	0	0	0	4	0	1	0	0	0	3	1	0	1	1	0	2	1	N/A
220221	0	0	0	0	2	1	1	1	5	0	0	2	1	0	1	1	1	0	2	0	0	1	0	1	0	1	1	4	0	0	2	0	0	0	0	2	1	1	1	0	2	2	0	0	0	1	1	0	1	0	0	0	2	0	0	1	3	4	0	1	1	0	0	0	1	1	1	0	0	0	0	4	0	1	1	0	0	3	1	0	1	1	0	2	1	N/A
220221	0	0	0	0	2	1	1	2	5	0	0	2	1	0	1	1	2	0	2	0	0	1	0	1	0	1	1	4	0	0	2	0	0	0	1	2	1	1	2	0	2	2	0	0	0	1	1	0	1	0	0	0	2	0	0	1	3	4	0	1	1	0	0	0	1	1	1	0	0	0	0	4	0	1	1	0	0	3	1	0	1	1	0	2	1	N/A
220223	0	0	0	0	2	1	1	2	5	0	0	2	1	1	2	1	3	0	3	0	0	1	0	1	0	1	1	4	0	0	2	0	0	0	2	2	1	1	2	0	2	1	0	0	1	1	1	0	1	0	0	0	2	0	0	1	3	4	0	1	1	0	0	1	1	1	1	0	0	0	0	4	0	1	1	1	0	3	2	1	1	1	0	2	1	N/A
220224	0	0	0	0	2	1	1	3	5	0	0	2	1	1	2	1	3	0	3	0	0	1	0	1	0	1	1	4	0	0	2	0	0	0	2	2	1	1	2	0	2	1	0	0	1	1	1	0	1	0	0	0	3	0	0	1	3	4	0	1	1	0	0	1	1	1	1	0	0	1	0	4	0	1	1	1	0	3	2	1	1	1	1	2	1	N/A
220225	0	0	0	0	2	1	1	3	6	0	0	2	1	1	3	1	4	0	4	0	0	1	0	1	0	1	1	5	0	0	2	0	0	0	3	2	1	2	2	0	2	1	0	0	2	3	1	0	1	0	0	0	4	0	0	1	4	4	0	2	1	0	0	1	1	1	1	0	0	1	0	4	0	1	1	1	0	3	2	1	1	1	1	2	1	N/A
220226	0	0	0	0	2	1	1	3	6	0	0	2	1	1	4	1	4	0	4	0	0	1	0	1	0	1	1	5	1	0	2	0	0	0	3	2	2	2	2	0	2	1	0	0	2	3	1	0	1	0	0	0	4	0	0	1	4	4	0	2	1	0	0	1	1	1	1	0	0	1	0	4	0	1	1	1	0	3	2	1	2	1	1	2	1	N/A
220227	0	0	0	0	2	1	1	3	6	0	0	2	1	1	4	1	4	0	4	0	0	1	0	1	0	1	1	5	1	0	2	0	0	0	3	2	2	2	2	0	2	1	0	0	2	3	1	0	1	0	0	0	4	0	0	1	4	4	0	2	1	0	0	1	1	1	1	0	0	1	0	4	0	1	1	1	0	3	2	1	3	1	1	2	1	N/A
220228	0	0	0	0	2	1	1	3	6	0	0	2	1	1	4	1	4	0	4	0	0	1	0	1	0	1	1	5	1	0	2	0	0	0	3	2	2	2	2	1	2	1	0	0	2	3	1	1	1	0	0	0	4	0	0	1	4	4	0	2	1	0	0	1	1	1	1	0	0	1	0	4	0	1	1	1	0	3	2	1	3	1	1	2	1	N/A
220301	0	0	0	0	3	1	1	3	6	1	0	2	1	1	4	2	4	0	4	1	0	1	0	1	0	1	1	5	1	2	2	0	0	1	3	2	2	2	2	1	2	1	0	1	4	3	1	1	1	0	0	0	4	0	0	2	4	4	0	3	1	0	1	1	1	1	1	0	0	1	0	5	0	1	1	3	0	4	2	1	3	1	1	2	1	N/A
220302	0	0	0	0	4	1	1	3	6	1	0	2	1	1	4	2	4	0	4	1	0	1	0	2	0	1	1	7	1	2	2	0	0	1	3	2	2	3	4	1	2	1	0	1	4	3	1	1	1	0	0	0	5	0	0	2	4	4	0	4	1	0	1	1	1	1	1	0	0	1	1	5	0	1	1	3	0	4	3	1	3	1	1	2	1	N/A
220303	0	0	0	0	4	1	1	3	6	1	0	2	1	1	4	2	4	0	4	1	0	1	0	2	0	1	1	7	1	2	2	0	0	1	3	3	3	3	4	1	2	1	0	1	4	3	1	1	1	0	0	0	5	0	1	2	4	4	0	4	1	0	2	1	1	1	1	0	0	1	1	5	0	1	1	3	0	5	3	1	3	1	1	2	1	N/A
220304	0	0	0	0	4	1	1	3	7	1	0	2	1	1	4	2	4	0	4	1	0	1	0	2	0	1	1	7	1	2	2	0	0	1	3	3	3	3	4	1	2	1	0	1	4	3	1	1	1	0	0	0	5	0	2	2	4	4	0	4	1	0	2	1	1	1	1	0	1	1	1	5	1	1	1	3	1	5	3	1	3	1	1	2	1	N/A
220305	0	0	0	0	4	1	1	3	7	1	0	2	1	1	4	2	4	0	4	1	0	1	0	2	0	1	1	7	1	2	2	0	0	1	3	3	3	3	4	1	2	1	0	1	4	3	1	1	1	0	0	0	5	0	2	2	4	4	0	4	1	0	2	1	1	1	1	0	1	1	1	5	1	1	1	3	1	6	3	1	3	1	1	2	1	N/A
220306	0	0	0	0	4	1	1	3	7	1	0	2	1	1	4	2	4	2	4	1	0	1	0	2	0	1	1	7	1	2	2	0	0	1	3	3	3	3	4	1	2	1	0	1	4	3	1	1	1	0	0	0	5	0	2	2	4	4	0	4	1	0	2	1	1	1	1	0	1	1	1	5	1	1	1	3	1	6	3	1	3	1	1	2	1	N/A
220308	0	0	0	0	4	1	1	3	7	1	0	2	1	1	4	2	4	2	4	1	0	1	0	2	0	1	1	7	1	2	2	0	0	1	3	3	3	3	4	1	2	1	0	1	4	4	1	1	1	0	0	0	5	0	2	2	4	4	0	4	1	0	2	1	1	1	1	0	2	1	1	5	2	1	1	3	1	6	3	1	3	1	1	2	1	N/A
220309	0	0	0	0	4	1	1	3	9	1	0	2	1	1	4	2	4	2	4	1	0	1	0	2	0	1	1	7	1	2	2	0	0	1	3	3	3	3	4	1	2	1	0	1	4	4	1	1	1	0	0	0	5	0	2	2	4	4	0	4	1	0	2	1	2	1	1	0	2	1	1	5	2	1	1	3	1	6	3	1	3	1	1	2	1	N/A
220310	0	0	0	0	4	1	1	4	9	1	0	2	1	1	5	2	4	2	4	1	0	1	0	2	0	1	1	7	1	2	3	0	0	1	3	3	3	3	4	1	2	1	0	1	4	4	1	1	1	0	0	0	5	0	2	2	4	4	0	4	1	0	2	1	2	1	1	0	2	1	1	5	2	1	1	3	1	6	3	1	3	1	1	3	1	N/A
220311	0	0	0	0	4	1	1	4	9	1	0	2	1	1	5	2	4	2	4	1	0	1	0	2	0	1	1	7	1	2	3	0	0	1	3	3	3	3	4	1	2	1	0	1	4	4	1	1	1	0	0	0	6	0	2	2	4	4	0	4	1	0	2	1	2	1	1	0	2	2	1	5	2	1	1	3	1	6	3	1	3	1	1	3	1	1
220312	0	0	0	0	4	2	1	5	9	1	1	2	1	1	5	2	4	2	4	1	0	1	0	3	0	1	1	8	1	2	3	0	0	1	3	3	3	3	4	1	2	1	0	1	4	4	1	1	1	1	0	0	6	0	3	2	4	4	0	5	1	0	3	1	3	1	1	0	2	3	1	5	2	1	1	3	1	6	3	1	3	1	1	3	1	1
220314	0	0	0	0	4	2	2	5	9	1	1	2	1	1	5	2	4	3	4	1	0	1	0	4	0	1	1	8	1	2	3	0	0	1	3	3	3	3	4	1	2	1	0	1	4	4	1	1	1	1	0	0	7	0	3	2	4	4	0	5	1	0	3	1	3	1	1	0	2	3	1	6	2	1	1	3	1	6	3	1	3	1	1	3	1	1
220316	0	0	0	0	5	2	4	5	11	1	1	6	3	1	6	2	6	3	4	2	0	1	0	4	0	1	1	9	1	2	3	0	0	1	3	4	3	4	6	1	2	1	0	1	5	4	1	1	3	1	0	0	8	0	4	3	5	5	1	7	2	0	3	1	4	1	1	0	5	3	1	6	3	1	1	6	1	6	6	2	3	3	1	3	1	1
220317	0	0	0	0	7	2	5	5	13	1	1	7	3	1	7	2	7	4	4	5	0	1	0	4	0	1	2	11	1	2	3	0	0	1	3	4	3	7	7	2	2	1	0	1	5	5	1	1	4	1	0	0	10	1	5	5	5	5	1	8	2	0	3	1	5	1	1	1	6	3	1	6	3	1	1	6	1	8	6	4	4	4	1	3	1	1
220321	0	0	1	0	8	2	6	5	13	1	1	7	4	1	7	3	8	4	4	6	0	1	0	4	0	1	6	11	1	2	5	0	1	1	4	5	3	10	8	2	2	1	0	1	6	5	1	1	4	1	0	0	14	1	5	5	5	5	1	10	3	1	3	1	6	1	1	2	8	3	1	6	3	1	1	7	1	8	7	4	5	4	1	3	1	1
220323	0	0	1	0	8	2	6	5	13	1	1	7	4	1	7	3	9	4	4	6	0	1	0	4	0	1	6	11	1	2	5	0	1	1	4	5	3	10	9	2	2	1	0	1	6	5	1	1	4	1	0	0	14	1	5	5	5	5	2	10	3	1	3	1	6	1	1	2	8	3	1	6	3	1	1	7	1	8	7	4	5	4	1	3	1	1
220324	0	0	1	0	8	2	6	5	13	1	1	7	4	1	7	3	9	5	4	6	0	1	0	4	0	1	6	11	1	2	5	0	1	1	4	5	3	10	9	2	2	1	0	1	6	5	1	1	4	1	0	0	14	1	5	5	5	5	2	10	3	1	3	1	6	1	1	2	8	3	1	6	3	1	1	7	1	8	7	4	5	4	1	3	1	1
220328	0	0	1	0	8	3	6	5	13	1	1	7	4	1	7	3	9	6	4	6	0	1	0	4	0	1	6	11	1	2	5	0	1	1	4	5	3	10	9	2	2	1	0	1	6	5	1	1	4	1	0	0	14	1	5	5	5	5	2	10	3	1	3	1	6	1	1	2	8	3	1	6	3	1	1	8	1	8	7	4	5	4	1	3	1	1
220328	0	0	1	0	8	3	6	5	14	1	1	7	4	1	7	3	9	6	4	6	0	1	0	4	0	1	6	11	1	2	5	0	1	1	4	5	3	10	9	2	2	1	0	1	6	5	1	1	4	1	0	0	14	1	5	5	5	5	2	10	3	1	3	1	6	1	1	2	8	3	1	6	3	1	1	8	1	8	7	4	5	4	1	3	1	1
220330	0	0	1	0	8	3	6	5	14	1	1	6	4	2	7	3	9	6	4	6	0	1	0	4	0	1	6	11	1	2	5	0	1	1	4	5	3	10	9	2	2	1	0	1	6	5	1	1	4	1	0	0	14	1	5	5	5	5	2	10	3	1	3	1	6	1	1	2	8	3	1	6	3	1	1	7	1	8	7	4	5	4	1	3	1	1
220331	0	0	1	0	8	3	6	5	14	1	1	6	4	2	7	3	9	6	4	6	0	1	0	4	0	1	6	11	1	2	5	0	1	1	5	5	3	10	9	2	2	1	0	1	6	5	1	1	4	1	0	0	14	1	5	5	5	5	2	10	3	1	3	1	6	1	1	2	8	3	1	6	3	1	1	7	1	8	7	4	5	4	1	3	1	1
