DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
220214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
220215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0
220216	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0
220219	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0
220220	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	3	1	1	0	0	0	0	0	0	1	0
220221	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	3	1	1	0	0	0	0	0	0	1	0
220225	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	3	1	1	0	0	0	0	0	0	1	0
220228	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	3	1	1	0	0	0	0	0	0	1	0
220301	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	4	1	1	0	1	0	0	0	0	1	0
220302	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	4	1	1	0	1	0	0	0	0	1	0
220303	2	2	0	0	0	0	0	0	0	0	3	0	1	0	1	1	1	1	0	2	0	0	0	0	0	0	2	4	0	0	0	0	2	1	0	0	0	5	1	1	1	2	0	1	0	0	1	0
220307	2	2	0	0	0	0	0	0	0	0	3	0	1	1	1	1	1	1	0	2	0	0	0	0	0	0	2	4	0	0	0	0	2	1	0	0	0	5	1	1	1	2	0	1	0	0	1	0
220310	2	2	0	0	0	0	0	1	0	0	3	0	1	1	1	1	1	1	0	2	0	0	0	0	0	0	2	4	0	0	0	0	2	1	0	0	0	5	1	1	1	2	0	1	0	0	1	0
220323	2	2	0	0	1	0	0	1	0	0	3	0	1	1	1	1	1	1	0	2	0	0	0	0	0	0	2	4	0	0	0	0	2	1	0	0	0	5	1	1	1	2	0	1	0	0	1	0
