DATE	A00	B00	C00	D00	E00	F00	G00
220204	0/85	0/85	0/85	0/85	0/85	0/85	0/85
220212	1/85	0/85	1/85	2/85	2/85	0/85	4/85
220213	4/85	0/85	1/85	7/85	3/85	0/85	10/85
220214	4/85	0/85	1/85	9/85	3/85	0/85	13/85
220215	4/85	0/85	1/85	14/85	4/85	1/85	30/85
220216	9/85	0/85	1/85	28/85	4/85	2/85	64/85
220216	14/85	1/85	2/85	65/85	6/85	3/85	85/85
220217	16/85	1/85	3/85	75/85	8/85	3/85	85/85
220218	17/85	1/85	3/85	80/85	8/85	4/85	85/85
220219	17/85	1/85	3/85	82/85	8/85	4/85	85/85
220221	19/85	1/85	3/85	85/85 WL1	8/85	4/85	85/85 WL3
220222	19/85	1/85	3/85	85/85 WL4	10/85	4/85	85/85 WL4
220223	38/85	2/85	4/85	85/85 WL11	23/85	14/85	85/85 WL14
220224	56/85	3/85	5/85	85/85 WL16	33/85	16/85	85/85 WL17
220225	84/85	3/85	11/85	85/85 WL22	44/85	25/85	85/85 WL21
220226	85/85	4/85	12/85	85/85 WL22	44/85	26/85	85/85 WL23
220228	85/85	4/85	12/85	85/85 WL22	45/85	26/85	85/85 WL24
220301	85/85 WL3	4/85	13/85	85/85 WL22	45/85	26/85	85/85 WL24
220302	85/90 WL3	4/90	13/90	85/90 WL22	45/90	27/90	85/90 WL24
220303	88/90	6/90	14/90	90/90 WL18	45/90	27/90	90/90 WL19
220304	89/90	7/90	14/90	90/90 WL18	46/90	28/90	90/90 WL19
220305	89/90	7/90	14/90	90/90 WL17	45/90	28/90	90/90 WL19
220307	90/90 WL1	7/90	15/90	90/90 WL17	46/90	28/90	90/90 WL19
220308	90/90	6/90	15/90	90/90 WL18	48/90	29/90	90/90 WL19
220309	90/90	6/90	15/90	90/90 WL18	48/90	29/90	89/90 WL19
220310	90/90	7/90	16/90	90/90 WL18	49/90	28/90	90/90 WL18
220311	90/90	7/90	16/90	90/90 WL18	49/90	29/90	90/90 WL18
220312	90/90	7/90	16/90	90/90 WL18	49/90	29/90	90/90 WL17
220314	90/90 WL1	8/90	15/90	89/90 WL16	49/90	30/90	90/90 WL17
220316	90/90 WL1	9/90	15/90	90/90 WL15	51/90	32/90	90/90 WL17
220317	90/90 WL2	8/90	19/90	90/90 WL15	52/90	32/90	90/90 WL17
220321	90/90 WL4	8/90	18/90	90/90 WL14	53/90	37/90	90/90 WL17
220323	90/90 WL3	8/90	18/90	90/90 WL15	56/90	37/90	90/90 WL17
220324	90/90 WL5	9/90	19/90	90/90 WL14	57/90	39/90	90/90 WL17
220328	90/90 WL3	11/90	20/90	90/90 WL11	61/90	40/90	90/90 WL14
220328	90/90 WL5	11/90	23/90	90/90 WL10	67/90	43/90	89/90 WL14
220330	85/90 WL4	11/90	28/90	88/90 WL11	85/90	55/90	88/90 WL12
220331	87/90	11/90	28/90	89/90 WL7	84/90	64/90	90/90 WL10
220404	90/90 WL1	11/90	28/90	90/90 WL5	90/90 WL2	72/90	90/90 WL7
220405	90/90	14/90	29/90	90/90 WL5	89/90	73/90	90/90 WL6
220406	90/90	13/90	29/90	89/90 WL3	90/90	76/90	90/90 WL6
