DATE	A50	A51	A52
220204	0/30	0/30	0/30
220213	2/30	0/30	0/30
220216	3/30	2/30	0/30
220216	5/30	2/30	0/30
220217	8/30	2/30	0/30
220218	8/30	3/30	1/30
220221	9/30	5/30	1/30
220223	9/30	6/30	2/30
220224	9/30	8/30	2/30
220225	17/30	9/30	2/30
220226	22/30	8/30	2/30
220301	21/30	8/30	2/30
220304	22/30	8/30	2/30
220309	22/30	8/30	1/30
220310	23/30	8/30	1/30
220311	22/30	8/30	1/30
220314	23/30	7/30	1/30
220317	23/30	7/30	2/30
220323	22/30	7/30	2/30
220324	23/30	7/30	2/30
220328	21/30	7/30	2/30
220328	22/30	7/30	3/30
220330	19/30	13/30	2/30
