DATE	A01	A02	A03	A04	A05
211115	28/32	25/32	1/0	18/32	N/A
220102	32/32	32/32	N/A	32/32	32/32
220104	32/32 (WL: 3)	32/32 (WL: 7)	N/A	32/32 (WL: 4)	32/32 (WL: 5)
