DATE	A00	B00
220204	0/100	0/100
220212	0/100	43/100
220213	0/100	57/100
220214	0/100	59/100
220215	6/100	57/100
220216	6/100	55/100
220217	8/100	55/100
220219	8/100	53/100
220221	7/100	52/100
220221	7/100	54/100
220222	8/100	54/100
220223	8/100	55/100
220224	8/100	52/100
220225	7/100	51/100
220226	7/100	49/100
220301	7/100	47/100
220303	7/100	48/100
220304	7/100	49/100
220305	7/100	50/100
220307	8/100	49/100
220308	8/100	48/100
220310	8/100	49/100
220311	9/100	49/100
220314	9/100	48/100
220316	9/100	45/100
220317	9/100	44/100
220321	9/100	43/100
220324	9/100	44/100
220328	8/100	46/100
220328	7/100	46/100
