DATE	A50	A51	A52	A53
211115	12/12	12/12	12/12	7/12
220102	12/12	12/12	12/12	12/12
220104	12/12	12/12	12/12	12/12
220109	12/12	12/12	12/12	12/12
220117	16/16	15/15	14/14	13/13
220121	16/16	15/15	14/14	13/13 (WL: 1)
