DATE	001	002	003	004	005	006	007	008	009	010	011	012
220204	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3
211115	1/3	0/3	1/3	1/3	0/3	1/3	0/3	0/3	0/3	0/3	0/3	1/3
220102	1/3	1/3	1/3	1/3	2/3	1/3	1/3	0/3	1/3	1/3	0/3	1/3
