DATE	A00
220204	0/80
220212	3/80
220213	5/80
220214	7/80
220215	19/80
220216	40/80
220216	64/80
220217	66/80
220218	67/80
220221	69/80
220221	78/80
220222	80/80
220223	80/80 WL14
220224	80/80 WL18
220225	80/80 WL21
220227	80/80 WL20
220301	80/80 WL21
220306	80/80 WL20
220309	80/80 WL19
220311	80/80 WL17
220312	79/80 WL17
220314	80/80 WL16
220321	80/80 WL15
220323	79/80 WL14
220324	79/80 WL13
220328	80/80 WL11
220328	80/80 WL14
220331	80/80 WL13
220404	80/80 WL12
220405	80/80 WL11
220406	79/80 WL10
220407	80/80 WL11
220408	85/85 WL5
220410	85/85 WL4
220417	84/85 WL4
